,전국,서울,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구,수도권
19.03.18,75.57,73.448,82.951,78.047,76.948,77.707,75.876,76.134,74.822,73.413,72.645,71.677,65.494,73.135,77.674,72.832,72.785,72.453,70.171,74.098,72.762,73.772,76.316,77.292,76.512,72.888,77.887,69.875
19.03.25,75.522,73.417,82.951,78.047,76.948,77.707,75.824,76.133,74.803,73.39,72.645,71.663,65.488,73.133,77.674,72.813,72.665,72.453,70.123,74.066,72.762,73.759,76.316,77.192,76.445,72.836,77.827,69.844
19.04.01,75.484,73.392,82.947,78.047,76.948,77.706,75.808,76.133,74.795,73.386,72.645,71.663,65.468,73.13,77.682,72.815,72.63,72.451,70.117,74.066,72.758,73.751,76.283,77.182,76.264,72.798,77.785,69.821
19.04.08,75.465,73.371,82.947,78.047,76.939,77.706,75.793,76.133,74.795,73.325,72.645,71.654,65.454,73.123,77.692,72.801,72.561,72.388,70.105,74.066,72.757,73.724,76.283,77.133,76.247,72.772,77.766,69.808
19.04.15,75.444,73.361,82.947,78.044,76.938,77.703,75.783,76.137,74.795,73.297,72.645,71.654,65.454,73.123,77.723,72.794,72.558,72.385,70.105,74.053,72.757,73.695,76.283,77.085,76.218,72.734,77.756,69.797
19.04.22,75.421,73.341,82.947,78.044,76.938,77.7,75.773,76.101,74.791,73.251,72.645,71.654,65.456,73.123,77.737,72.7,72.548,72.379,70.108,74.053,72.758,73.676,76.277,77.047,76.185,72.729,77.583,69.778
19.04.29,75.388,73.332,82.933,78.044,76.928,77.7,75.76,76.101,74.793,73.242,72.645,71.654,65.455,73.123,77.737,72.693,72.544,72.368,70.108,74.053,72.758,73.665,76.277,77.036,76.168,72.72,77.488,69.761
19.05.06,75.367,73.325,82.933,78.044,76.924,77.72,75.754,76.101,74.793,73.162,72.631,71.651,65.454,73.121,77.753,72.692,72.524,72.368,70.108,74.079,72.758,73.642,76.27,77.017,76.166,72.721,77.461,69.745
19.05.13,75.339,73.316,82.933,78.044,76.916,77.721,75.74,76.077,74.793,73.096,72.631,71.651,65.447,73.103,77.753,72.692,72.556,72.364,70.108,74.079,72.758,73.639,76.273,77.017,76.121,72.711,77.44,69.729
19.05.20,75.308,73.296,82.933,78.044,76.918,77.721,75.729,76.006,74.793,73.041,72.631,71.651,65.416,73.103,77.751,72.69,72.556,72.331,70.034,74.129,72.751,73.639,76.265,77.017,76.052,72.708,77.41,69.707
